various artists,insecure (music from the hbo original series),7.4,0.0371,0.96,168893,0.571,1.47e-05,8,RCA Records Label,0.111,-3.806,0,57,2017,0.104,128.02,4,0.292
various artists,insecure (music from the hbo original series),7.4,0.0321,0.742,169507,0.563,0,9,RCA Records Label,0.116,-5.296,0,57,2017,0.195,74.856,4,0.596
various artists,insecure (music from the hbo original series),7.4,0.132,0.687,209507,0.509,0,9,RCA Records Label,0.134,-5.453,1,57,2017,0.33,180.121,4,0.163
various artists,insecure (music from the hbo original series),7.4,0.767,0.656,15427,0.634,0,4,RCA Records Label,0.707,-8.014,1,57,2017,0.589,70.236,3,0.821
various artists,insecure (music from the hbo original series),7.4,0.11,0.76,168067,0.721,0,0,RCA Records Label,0.195,-4.918,1,57,2017,0.151,140.015,4,0.252
various artists,insecure (music from the hbo original series),7.4,0.375,0.61,170400,0.743,3.45e-06,9,RCA Records Label,0.325,-9.06,0,57,2017,0.483,193.887,4,0.569
various artists,insecure (music from the hbo original series),7.4,0.418,0.894,220547,0.685,0.283,0,RCA Records Label,0.101,-6.735,0,57,2017,0.0648,123.051,4,0.699
various artists,insecure (music from the hbo original series),7.4,0.0148,0.632,277000,0.881,0.00799,7,RCA Records Label,0.0758,-5.148,1,57,2017,0.0883,98.071,4,0.37
various artists,insecure (music from the hbo original series),7.4,0.62,0.523,215667,0.687,0,4,RCA Records Label,0.139,-5.066,1,57,2017,0.375,78.509,4,0.562
various artists,insecure (music from the hbo original series),7.4,0.48,0.626,285867,0.38,0.00275,0,RCA Records Label,0.134,-7.998,0,57,2017,0.0478,136.084,4,0.567
various artists,insecure (music from the hbo original series),7.4,0.691,0,13320,0.699,0,2,RCA Records Label,0.735,-8.882,1,57,2017,0,0,0,0
various artists,insecure (music from the hbo original series),7.4,0.0781,0.803,242200,0.69,0,3,RCA Records Label,0.117,-5.89,1,57,2017,0.269,103.985,4,0.444
various artists,insecure (music from the hbo original series),7.4,0.0696,0.46,227413,0.873,0.111,1,RCA Records Label,0.653,-5.001,1,57,2017,0.119,170.002,4,0.74
various artists,insecure (music from the hbo original series),7.4,0.346,0.389,342253,0.51,5.26e-05,6,RCA Records Label,0.111,-8.759,1,57,2017,0.129,140.808,4,0.117
various artists,insecure (music from the hbo original series),7.4,0.222,0.731,167107,0.74,2.58e-06,2,RCA Records Label,0.0815,-5.183,1,57,2017,0.304,173.859,4,0.569
various artists,insecure (music from the hbo original series),7.4,0.791,0.835,18693,0.798,0,11,RCA Records Label,0.766,-4.555,1,57,2017,0.548,41.328,3,0.96
little simz,stillness in wonderland,7.1,0.067,0.614,243530,0.507,7.02e-05,8,Age 101,0.118,-8.356,0,43,2016,0.0492,119.959,4,0.331
little simz,stillness in wonderland,7.1,0.258,0.578,62423,0.898,6.27e-06,9,Age 101,0.407,-9.413,1,43,2016,0.108,134.666,3,0.738
little simz,stillness in wonderland,7.1,0.0435,0.444,253891,0.651,2.63e-05,5,Age 101,0.24,-8.16,1,43,2016,0.107,113.952,4,0.268
little simz,stillness in wonderland,7.1,0.141,0.619,117249,0.691,0.0539,8,Age 101,0.283,-8.898,1,43,2016,0.0417,141.97,4,0.275
little simz,stillness in wonderland,7.1,0.236,0.368,235113,0.556,0.000467,0,Age 101,0.0558,-8.496,0,43,2016,0.268,176.107,4,0.436
little simz,stillness in wonderland,7.1,0.139,0.784,188089,0.677,0,4,Age 101,0.0675,-6.764,0,43,2016,0.085,105.762,4,0.704
little simz,stillness in wonderland,7.1,0.179,0.8,183197,0.683,0,7,Age 101,0.138,-8.328,1,43,2016,0.101,105.997,4,0.656
little simz,stillness in wonderland,7.1,0.447,0.384,44701,0.514,0.866,4,Age 101,0.12,-9.519,0,43,2016,0.0345,134.576,4,0.293
little simz,stillness in wonderland,7.1,0.476,0.62,212820,0.699,0,1,Age 101,0.275,-7.312,0,43,2016,0.332,120.091,4,0.622
little simz,stillness in wonderland,7.1,0.38,0.761,195902,0.719,0,2,Age 101,0.429,-7.501,1,43,2016,0.343,108.096,4,0.855
little simz,stillness in wonderland,7.1,0.0647,0.624,222173,0.676,1.68e-05,1,Age 101,0.298,-8.271,1,43,2016,0.048,132.127,4,0.55
little simz,stillness in wonderland,7.1,0.608,0.588,209625,0.636,6.7e-06,4,Age 101,0.306,-8.048,0,43,2016,0.0617,162.078,3,0.589
little simz,stillness in wonderland,7.1,0.618,0.526,41553,0.524,0.501,4,Age 101,0.0816,-10.693,0,43,2016,0.0756,68.053,4,0.398
little simz,stillness in wonderland,7.1,0.0273,0.57,240124,0.677,1.41e-05,9,Age 101,0.121,-7.835,1,43,2016,0.0831,120.012,4,0.24
little simz,stillness in wonderland,7.1,0.00766,0.608,217657,0.648,0.000126,4,Age 101,0.206,-7.759,1,43,2016,0.0462,124.211,4,0.354
yotam avni,tehillim,7.0,0.0136,0.462,350630,0.849,0.907,1,Stroboscopic Artefacts,0.224,-9.359,0,6,2016,0.0569,128.021,4,0.13
yotam avni,tehillim,7.0,0.113,0.787,428378,0.458,0.955,1,Stroboscopic Artefacts,0.0604,-15.577,1,6,2016,0.0499,130.021,4,0.0954
yotam avni,tehillim,7.0,0.00602,0.52,423816,0.459,0.852,1,Stroboscopic Artefacts,0.104,-15.71,0,6,2016,0.03,127.012,4,0.0522
yotam avni,tehillim,7.0,0.75,0.818,398318,0.313,0.938,1,Stroboscopic Artefacts,0.112,-16.96,1,6,2016,0.0959,131.989,4,0.0363
brian eno,reflection,7.7,0.977,0.0645,3924548,0.0394,0.889,7,Warp Records,0.0749,-29.481,0,23,2017,0.0514,67.034,3,0.0306
