keep flexin,rich the kid,6.5
you know what its like,carla dal forno,7.4
xxx,pussy riot,6.6
qtt4,huerco s.,7.7
live at the whiskey a go go: the complete recordings,otis redding,9.0
the olympians,the olympians,6.8
dc4,meek mill,6.9
disclosure,kassem mosse,7.9
dissociation,the dillinger escape plan,6.9
metal box,public image ltd,10.0
goodbye terrible youth,american wrestlers,7.1
lady wood,tove lo,7.0
strands,steve hauschildt,7.6
flotus,lambchop,8.0
all the right noises,roman flgel,7.8
onederful,dj rude one,6.9
tumblers from the vault (19701972),syrinx,8.2
hunted,khemmis,7.6
blood on the tracks,bob dylan,10.0
rage & the machine,joe budden,6.0
secret path,gord downie,8.0
r m h q: headquarters,roy montgomery,8.1
big baby d.r.a.m.,d.r.a.m.,7.8
running out of love,the radio dept.,7.6
dreamt takes,luis,6.8
beyond now,donny mccaslin,6.4
lazarus ost,various artists,6.2
lighthouse,david crosby,6.5
mad love.,jojo,7.0
nordic mediterranean organization / numerous miscommunications occur,n.m.o.,7.5
american football,american football,7.7
t.c.r. ep,sleaford mods,6.7
after hours,jubilee,7.4
beyond the fleeting gales,crying,7.1
joanne,lady gaga,6.9
retribution,tanya tagaq,8.2
popp,oval,7.5
moving still,jonathan finlayson & sicilian defense,8.1
you want it darker,leonard cohen,8.5
headache,male bonding,6.8
savoy motel,savoy motel,7.4
whatever forever,oozing wound,6.6
everything feels better now,from indian lakes,7.0
end of the century,ramones,6.4
integrity blues,jimmy eat world,7.3
say yes! a tribute to elliott smith,various artists,6.0
the violent sleep of reason,meshuggah,6.5
motor earth,axis: sova,6.7
woptober,gucci mane,7.5
these systems are failing ,moby & the void pacific choir,4.0
ep a,kag,7.2
self restraint,gods wisdom,4.9
walls,kings of leon,4.5
color,katie gately,7.3
every now & then,jagwar ma,6.9
fires on the plain,matt kivel,7.0
front row seat to earth,weyes blood,8.3
thirst 48 pt. ii,boogie,7.8
sport,powell,8.1
standard nature,wife,7.0
yes lawd!,nxworries,8.2
remember us to life,regina spektor,6.6
arctic thunder,darkthrone,7.2
yermande,mark ernestus' ndagga rhythm force,8.0
building a beginning,jamie lidell,6.2
lubbock (on everything),terry allen,8.5
requiem for hell,mono,5.9
america's national parks,wadada leo smith,7.9
super low,warehouse,7.4
good old boys,randy newman,9.3
coconut oil ,lizzo,6.1
adieux au dancefloor,marie davidson,8.0
high bias,purling hiss,6.8
home ost,johnny jewel,6.0
